true,pred,path
Normal,Normal,extracted_data/npy/val/normal/00599_H_D_N_C8.npy
Normal,Normal,extracted_data/npy/val/normal/00622_H_D_N_C8.npy
Normal,Normal,extracted_data/npy/val/normal/01591_L_F_N_C8.npy
Normal,Normal,extracted_data/npy/val/normal/01158_O_E_N_C5.npy
Normal,Normal,extracted_data/npy/val/normal/02315_H_A_N_C6.npy
Normal,Normal,extracted_data/npy/val/normal/00941_O_E_N_C4.npy
Normal,Normal,extracted_data/npy/val/normal/00244_H_D_N_C8.npy
Normal,Normal,extracted_data/npy/val/normal/01815_Y_A_N_C8.npy
Normal,Fall,extracted_data/npy/val/normal/02296_H_A_N_C5.npy
Normal,Normal,extracted_data/npy/val/normal/00830_O_E_N_C5.npy
Normal,Normal,extracted_data/npy/val/normal/00110_H_A_N_C5.npy
Normal,Normal,extracted_data/npy/val/normal/01987_Y_A_N_C4.npy
Normal,Normal,extracted_data/npy/val/normal/02376_H_A_N_C2.npy
Normal,Fall,extracted_data/npy/val/normal/01032_O_E_N_C8.npy
Normal,Normal,extracted_data/npy/val/normal/02289_H_A_N_C3.npy
Normal,Normal,extracted_data/npy/val/normal/02289_H_A_N_C4.npy
Normal,Normal,extracted_data/npy/val/normal/01767_Y_E_N_C7.npy
Normal,Normal,extracted_data/npy/val/normal/00296_H_A_N_C2.npy
Normal,Normal,extracted_data/npy/val/normal/01220_O_E_N_C8.npy
Normal,Normal,extracted_data/npy/val/normal/00272_H_D_N_C8.npy
Normal,Normal,extracted_data/npy/val/normal/00594_H_D_N_C7.npy
Normal,Normal,extracted_data/npy/val/normal/00340_H_A_N_C3.npy
Normal,Normal,extracted_data/npy/val/normal/02049_H_A_N_C5.npy
Normal,Fall,extracted_data/npy/val/normal/01070_O_E_N_C4.npy
Normal,Fall,extracted_data/npy/val/normal/00982_O_E_N_C8.npy
Normal,Normal,extracted_data/npy/val/normal/01631_O_E_N_C3.npy
Normal,Normal,extracted_data/npy/val/normal/00582_H_D_N_C4.npy
Normal,Normal,extracted_data/npy/val/normal/01221_O_E_N_C1.npy
Normal,Normal,extracted_data/npy/val/normal/02510_H_A_N_C6.npy
Normal,Normal,extracted_data/npy/val/normal/02327_H_A_N_C5.npy
Normal,Normal,extracted_data/npy/val/normal/02389_H_A_N_C2.npy
Normal,Normal,extracted_data/npy/val/normal/00699_H_D_N_C4.npy
Normal,Normal,extracted_data/npy/val/normal/02595_H_A_N_C7.npy
Normal,Normal,extracted_data/npy/val/normal/01703_Y_E_N_C6.npy
Normal,Normal,extracted_data/npy/val/normal/01413_O_B_N_C6.npy
Normal,Normal,extracted_data/npy/val/normal/01683_Y_E_N_C4.npy
Normal,Normal,extracted_data/npy/val/normal/02389_H_A_N_C1.npy
Normal,Normal,extracted_data/npy/val/normal/02133_H_A_N_C5.npy
Normal,Fall,extracted_data/npy/val/normal/02376_H_A_N_C1.npy
Normal,Normal,extracted_data/npy/val/normal/01683_Y_E_N_C5.npy
Normal,Normal,extracted_data/npy/val/normal/01227_O_E_N_C2.npy
Normal,Normal,extracted_data/npy/val/normal/00622_H_D_N_C1.npy
Normal,Normal,extracted_data/npy/val/normal/00110_H_A_N_C4.npy
Normal,Normal,extracted_data/npy/val/normal/02339_H_A_N_C7.npy
Normal,Fall,extracted_data/npy/val/normal/01221_O_E_N_C8.npy
Normal,Normal,extracted_data/npy/val/normal/02327_H_A_N_C7.npy
Normal,Normal,extracted_data/npy/val/normal/00594_H_D_N_C6.npy
Normal,Normal,extracted_data/npy/val/normal/01529_O_E_N_C1.npy
Normal,Normal,extracted_data/npy/val/normal/02228_H_A_N_C8.npy
Normal,Normal,extracted_data/npy/val/normal/00095_H_A_N_C4.npy
Normal,Normal,extracted_data/npy/val/normal/00272_H_D_N_C1.npy
Normal,Normal,extracted_data/npy/val/normal/00653_H_D_N_C1.npy
Normal,Normal,extracted_data/npy/val/normal/02440_H_A_N_C3.npy
Normal,Normal,extracted_data/npy/val/normal/01227_O_E_N_C3.npy
